day,price,predicted_price,action,holding,steps_holding,portfolio_value,capital
52,32702.025390625,35256.0,BUY,True,0,7423.994167969388,7423.994167969388
53,32822.34765625,35101.58203125,SELL,False,0,7451.309656463044,7451.309656463044
54,31780.73046875,34927.14453125,BUY,True,0,7451.309656463044,7451.309656463044
55,31421.5390625,34664.4140625,SELL,False,0,7367.093643978973,7367.093643978973
56,31533.068359375,34335.63671875,BUY,True,0,7367.093643978973,7367.093643978973
57,31796.810546875,33986.41015625,SELL,False,0,7428.711922639212,7428.711922639212
58,30817.83203125,33673.0078125,BUY,True,0,7428.711922639212,7428.711922639212
59,29807.34765625,33328.890625,SELL,False,0,7185.132253680304,7185.132253680304
60,32110.693359375,32903.7578125,BUY,True,0,7185.132253680304,7185.132253680304
61,32313.10546875,32653.642578125,SELL,False,0,7230.424261527314,7230.424261527314
62,33581.55078125,32559.265625,BUY,True,0,7230.424261527314,7230.424261527314
63,34292.4453125,32686.822265625,SELL,False,0,7383.486551581143,7383.486551581143
64,35350.1875,33016.62109375,BUY,True,0,7383.486551581143,7383.486551581143
65,37337.53515625,33549.62109375,HOLD,True,1,7798.577834851937,7383.486551581143
66,39406.94140625,34351.28515625,HOLD,True,2,8230.80844796065,7383.486551581143
67,39995.90625,35405.59375,SELL,False,0,8353.82375030331,8353.82375030331
68,40008.421875,36578.01953125,BUY,True,0,8353.82375030331,8353.82375030331
69,42235.546875,37766.453125,HOLD,True,1,8818.851083248926,8353.82375030331
70,41626.1953125,39052.48046875,SELL,False,0,8691.617483008427,8691.617483008427
71,39974.89453125,40254.87109375,BUY,True,0,8691.617483008427,8691.617483008427
72,39201.9453125,41174.49609375,SELL,False,0,8523.557528831105,8523.557528831105
73,38152.98046875,41770.28125,BUY,True,0,8523.557528831105,8523.557528831105
74,39747.50390625,42007.7265625,HOLD,True,1,8879.781658207648,8523.557528831105
75,40869.5546875,42112.4609375,HOLD,True,2,9130.4531461688,8523.557528831105
76,42816.5,42215.0390625,HOLD,True,3,9565.410000723694,8523.557528831105
77,44555.80078125,42462.27734375,HOLD,True,4,9953.978078152611,8523.557528831105
78,43798.1171875,42925.19140625,SELL,False,0,9784.707955068274,9784.707955068274
79,46365.40234375,43433.1640625,BUY,True,0,9784.707955068274,9784.707955068274
80,45585.03125,44138.25,SELL,False,0,9620.022589193297,9620.022589193297
81,45593.63671875,44854.21484375,BUY,True,0,9620.022589193297,9620.022589193297
82,44428.2890625,45519.921875,SELL,False,0,9374.140234018541,9374.140234018541
83,47793.3203125,46001.875,BUY,True,0,9374.140234018541,9374.140234018541
84,47096.9453125,46595.4609375,SELL,False,0,9237.553847829395,9237.553847829395
85,47047.00390625,47157.09765625,BUY,True,0,9237.553847829395,9237.553847829395
86,46004.484375,47647.3984375,SELL,False,0,9032.857915936984,9032.857915936984
87,44695.359375,47963.50390625,BUY,True,0,9032.857915936984,9032.857915936984
88,44801.1875,48028.7578125,SELL,False,0,9054.245604278734,9054.245604278734
89,46717.578125,47927.73046875,BUY,True,0,9054.245604278734,9054.245604278734
90,49339.17578125,47877.81640625,HOLD,True,1,9562.332495936049,9054.245604278734
91,48905.4921875,48077.953125,SELL,False,0,9478.28109751269,9478.28109751269
92,49321.65234375,48392.12890625,BUY,True,0,9478.28109751269,9478.28109751269
93,49546.1484375,48791.0,SELL,False,0,9521.42314528972,9521.42314528972
94,47706.1171875,49231.75390625,BUY,True,0,9521.42314528972,9521.42314528972
95,48960.7890625,49512.8359375,SELL,False,0,9771.83677219246,9771.83677219246
96,46942.21875,49766.97265625,BUY,True,0,9771.83677219246,9771.83677219246
97,49058.66796875,49814.8125,HOLD,True,1,10212.412374560196,9771.83677219246
98,48902.40234375,49894.390625,SELL,False,0,10179.882975199314,10179.882975199314
99,48829.83203125,49973.671875,BUY,True,0,10179.882975199314,10179.882975199314
100,47054.984375,50039.71875,SELL,False,0,9809.86856622349,9809.86856622349
101,47166.6875,49944.81640625,BUY,True,0,9809.86856622349,9809.86856622349
102,48847.02734375,49758.6953125,HOLD,True,1,10159.350666567636,9809.86856622349
103,49327.72265625,49662.98046875,SELL,False,0,10259.327113631567,10259.327113631567
104,50025.375,49673.23828125,BUY,True,0,10259.327113631567,10259.327113631567
105,49944.625,49810.41015625,SELL,False,0,10242.76670475056,10242.76670475056
106,51753.41015625,50014.421875,BUY,True,0,10242.76670475056,10242.76670475056
107,52633.53515625,50395.5078125,SELL,False,0,10416.95648314007,10416.95648314007
108,46811.12890625,50936.4609375,BUY,True,0,10416.95648314007,10416.95648314007
109,46091.390625,51061.09765625,SELL,False,0,10256.791955383289,10256.791955383289
110,46391.421875,50840.42578125,BUY,True,0,10256.791955383289,10256.791955383289
111,44883.91015625,50430.33984375,SELL,False,0,9923.492533969058,9923.492533969058
112,45201.45703125,49801.640625,BUY,True,0,9923.492533969058,9923.492533969058
113,46063.26953125,49103.34375,SELL,False,0,10112.694176374493,10112.694176374493
114,44963.07421875,48483.73046875,BUY,True,0,10112.694176374493,10112.694176374493
115,47092.4921875,47875.34375,HOLD,True,1,10591.623899615377,10112.694176374493
116,48176.34765625,47497.1640625,SELL,False,0,10835.395017967625,10835.395017967625
117,47783.359375,47390.9609375,BUY,True,0,10835.395017967625,10835.395017967625
118,47267.51953125,47443.93359375,SELL,False,0,10718.422738367663,10718.422738367663
119,48278.36328125,47558.3203125,BUY,True,0,10718.422738367663,10718.422738367663
120,47260.21875,47788.47265625,SELL,False,0,10492.381448792028,10492.381448792028
121,42843.80078125,47995.1875,BUY,True,0,10492.381448792028,10492.381448792028
122,40693.67578125,47809.63671875,SELL,False,0,9965.819116524415,9965.819116524415
123,43574.5078125,47203.203125,BUY,True,0,9965.819116524415,9965.819116524415
124,44895.09765625,46599.48046875,HOLD,True,1,10267.847990070437,9965.819116524415
125,42839.75,46151.92578125,SELL,False,0,9797.774454142076,9797.774454142076
